iter	Accuracy	Logloss
0	0.7626936647	0.6824124166
1	0.7754256788	0.6720568527
2	0.7763460653	0.6618800558
3	0.7807946004	0.6526571804
4	0.7801810094	0.6431960183
5	0.7832489646	0.6342149824
6	0.7818683847	0.6256757622
7	0.7866237153	0.6180641
8	0.786163522	0.610955423
9	0.7847829422	0.603605538
10	0.7853965332	0.5984620054
11	0.7866237153	0.591592311
12	0.7867771131	0.5857962165
13	0.7875441019	0.5801152745
14	0.7870839086	0.5745466291
15	0.7886178862	0.5688622124
16	0.7890780795	0.5640403443
17	0.7887712839	0.5591437528
18	0.7895382727	0.5550284321
19	0.7898450683	0.5504131231
20	0.7892314772	0.5464832185
21	0.789384875	0.5414903385
22	0.7903052615	0.5374561941
23	0.789998466	0.5338006706
24	0.7919926369	0.5314392011
25	0.7913790459	0.5277845456
26	0.7933732168	0.5251303995
27	0.7924528302	0.5224964434
28	0.7936800123	0.5200353611
29	0.7946003988	0.5168628994
30	0.7936800123	0.5142096743
31	0.793219819	0.5118116105
32	0.7942936033	0.5089475055
33	0.7947537966	0.5066167429
34	0.7944470011	0.5043129749
35	0.7944470011	0.5018569086
36	0.7946003988	0.4994141646
37	0.79383341	0.4968578723
38	0.7952139899	0.4951880664
39	0.7952139899	0.4933063174
40	0.7952139899	0.4912934487
41	0.7959809787	0.4895455745
42	0.7958275809	0.4878119906
43	0.7962877742	0.4854920616
44	0.7965945697	0.483294029
45	0.7965945697	0.4811402726
46	0.797054763	0.4798892329
47	0.7975149563	0.4777104287
48	0.797668354	0.4764021314
49	0.7975149563	0.4748739182
50	0.797668354	0.4732984616
51	0.7981285473	0.4716143141
52	0.7988955361	0.469802498
53	0.7995091272	0.4683716133
54	0.800276116	0.4673295361
55	0.800889707	0.4656028372
56	0.8011965025	0.464313907
57	0.800889707	0.4630426122
58	0.8005829115	0.4615814993
59	0.8010431048	0.4603026723
60	0.800889707	0.4592560528
61	0.8013499003	0.4579130983
62	0.8018100936	0.4571485019
63	0.8019634913	0.4561418615
64	0.8019634913	0.4549286136
65	0.8018100936	0.4538875384
66	0.8021168891	0.4530185461
67	0.8019634913	0.4517444069
68	0.8018100936	0.45031491
69	0.8021168891	0.4493405047
70	0.8021168891	0.4484050102
71	0.8021168891	0.4474465899
72	0.8025770824	0.4466092061
73	0.8018100936	0.4459482285
74	0.8021168891	0.4450825104
75	0.8028838779	0.4443769096
76	0.8024236846	0.4437616458
77	0.8025770824	0.4428889107
78	0.8027304801	0.4418455642
79	0.8030372757	0.4411104503
80	0.8027304801	0.4405443065
81	0.8022702869	0.4398941858
82	0.8027304801	0.4391688361
83	0.8031906734	0.4385216388
84	0.8031906734	0.437957406
85	0.8033440712	0.4375792066
86	0.8034974689	0.4369024064
87	0.8036508667	0.4362619983
88	0.8038042645	0.4357938591
89	0.8036508667	0.4350231768
90	0.80411106	0.4347329139
91	0.8039576622	0.4342643579
92	0.8042644577	0.4335692038
93	0.8044178555	0.4331019135
94	0.8056450376	0.4325788884
95	0.8061052309	0.4318715182
96	0.8054916398	0.4313858628
97	0.8054916398	0.4307568106
98	0.8056450376	0.4302732261
99	0.8061052309	0.4298398527
100	0.8059518331	0.4289935908
101	0.8061052309	0.4285403368
102	0.8057984353	0.4276530585
103	0.8059518331	0.4267003528
104	0.8064120264	0.4261479307
105	0.8062586286	0.4255838596
106	0.8064120264	0.4249873871
107	0.8064120264	0.4246733605
108	0.8068722197	0.4242442905
109	0.8067188219	0.4237870157
110	0.8067188219	0.4233082367
111	0.8070256174	0.4229721116
112	0.8068722197	0.4226782588
113	0.8070256174	0.422353911
114	0.8070256174	0.4220409965
115	0.8068722197	0.4216453431
116	0.8071790152	0.4210663272
117	0.807946004	0.4206875394
118	0.807946004	0.4198061333
119	0.8082527995	0.4194758453
120	0.8076392085	0.4189580125
121	0.8076392085	0.4186515623
122	0.8076392085	0.4183396406
123	0.8076392085	0.4179476107
124	0.807946004	0.4172927687
125	0.808559595	0.4170215374
126	0.8082527995	0.4166364461
127	0.8084061973	0.4162770172
128	0.808559595	0.4158170858
129	0.8087129928	0.4153984477
130	0.8094799816	0.4144493199
131	0.8091731861	0.4141837597
132	0.8090197883	0.4137891159
133	0.8094799816	0.4135807077
134	0.8090197883	0.4132683754
135	0.8088663906	0.4126280611
136	0.8090197883	0.4123679312
137	0.8090197883	0.4121205418
138	0.808559595	0.4118221742
139	0.8088663906	0.41147097
140	0.808559595	0.4111876925
141	0.8091731861	0.4108108266
142	0.8091731861	0.4104341486
143	0.8091731861	0.4101351038
144	0.8091731861	0.4097637459
145	0.8094799816	0.4094490967
146	0.8096333794	0.4093356648
147	0.8097867771	0.409006756
148	0.8097867771	0.4087393209
149	0.8099401749	0.4083676702
150	0.8102469704	0.408163397
151	0.8102469704	0.4077541673
152	0.8104003682	0.4072938008
153	0.8104003682	0.4068615584
154	0.8105537659	0.4066105368
155	0.8102469704	0.4063312411
156	0.8105537659	0.406035297
157	0.8105537659	0.4057901343
158	0.8108605614	0.4055670448
159	0.8110139592	0.4051252357
160	0.8113207547	0.4047434719
161	0.8114741525	0.4045884338
162	0.8114741525	0.4042852182
163	0.8114741525	0.4039229431
164	0.8114741525	0.4036250136
165	0.8116275502	0.4032870335
166	0.8119343458	0.4028321618
167	0.8119343458	0.4024763956
168	0.8119343458	0.4023129687
169	0.8125479368	0.4020825166
170	0.8131615278	0.4018531744
171	0.8130081301	0.4012432014
172	0.8133149256	0.4011276577
173	0.8130081301	0.4008047423
174	0.8137751189	0.4005478367
175	0.8137751189	0.4002770996
176	0.8139285166	0.3998904093
177	0.8139285166	0.3996574455
178	0.8139285166	0.39936713
179	0.8139285166	0.3991679482
180	0.8143887099	0.3985844107
181	0.8142353122	0.3982918991
182	0.8140819144	0.3979764409
183	0.8145421077	0.3975869848
184	0.8148489032	0.3973406054
185	0.8153090965	0.3971207997
186	0.8153090965	0.3968907997
187	0.8154624942	0.3967449053
188	0.8153090965	0.3964704927
189	0.815615892	0.3961644127
190	0.8159226875	0.3956662748
191	0.8160760853	0.3955223811
192	0.8160760853	0.395319889
193	0.8165362786	0.3951649507
194	0.8160760853	0.3948893391
195	0.8168430741	0.3946447148
196	0.8168430741	0.3942157737
197	0.8166896763	0.3940113693
198	0.8171498696	0.3935223606
199	0.8168430741	0.3933199807
200	0.8169964719	0.3931136961
201	0.8166896763	0.3928840821
202	0.8171498696	0.3925696056
203	0.8174566651	0.3923499969
204	0.8171498696	0.3920899312
205	0.8169964719	0.391730604
206	0.8169964719	0.3915995998
207	0.8173032674	0.3914657282
208	0.8180702562	0.3913151354
209	0.8180702562	0.3911942041
210	0.8183770517	0.3909654282
211	0.8186838472	0.3907175913
212	0.8185304495	0.3903792596
213	0.8186838472	0.3901909248
214	0.818837245	0.3899505438
215	0.8189906427	0.389613803
216	0.8189906427	0.3894697676
217	0.8186838472	0.389087872
218	0.8186838472	0.3889200478
219	0.8186838472	0.3887005115
220	0.8186838472	0.3885267792
221	0.8199110293	0.3880247921
222	0.8197576315	0.3879017812
223	0.8196042338	0.3877355443
224	0.819450836	0.3875134269
225	0.819450836	0.3872562114
226	0.8200644271	0.3867843917
227	0.8203712226	0.3866404822
228	0.8202178248	0.3864524801
229	0.8202178248	0.3861006013
230	0.8200644271	0.3858710869
231	0.8199110293	0.3856971744
232	0.8203712226	0.385341079
233	0.8203712226	0.3851074871
234	0.8200644271	0.3850097284
235	0.8200644271	0.3847233341
236	0.8206780181	0.3844003897
237	0.8202178248	0.3842467209
