iter	Passed	Remaining
0	1	1979
1	3	1548
2	4	1371
3	5	1281
4	6	1238
5	7	1315
6	8	1272
7	9	1239
8	11	1221
9	12	1231
10	13	1235
11	14	1215
12	15	1200
13	16	1187
14	17	1176
15	19	1188
16	20	1179
17	21	1181
18	22	1173
19	23	1167
20	25	1187
21	27	1220
22	28	1212
23	29	1203
24	31	1226
25	32	1221
26	33	1214
27	34	1208
28	35	1201
29	37	1206
30	38	1201
31	39	1195
32	40	1190
33	41	1187
34	43	1194
35	44	1191
36	45	1190
37	46	1185
38	48	1189
39	49	1189
40	50	1184
41	51	1181
42	52	1177
43	54	1177
44	55	1182
45	56	1178
46	57	1174
47	58	1170
48	60	1178
49	61	1173
50	62	1169
51	63	1165
52	65	1162
53	66	1168
54	67	1165
55	68	1161
56	70	1158
57	71	1154
58	72	1155
59	73	1154
60	74	1151
61	76	1151
62	77	1148
63	79	1159
64	80	1159
65	81	1157
66	82	1154
67	84	1161
68	85	1158
69	86	1154
70	88	1151
71	89	1148
72	90	1147
73	91	1144
74	92	1146
75	94	1143
76	95	1143
77	96	1142
78	97	1140
79	98	1137
80	99	1134
81	101	1132
82	102	1133
83	103	1131
84	104	1128
85	105	1126
86	107	1123
87	108	1124
88	109	1121
89	110	1119
90	112	1119
91	113	1120
92	114	1118
93	115	1116
94	116	1113
95	117	1110
96	119	1110
97	120	1110
98	121	1108
99	122	1106
100	124	1103
101	125	1101
102	126	1099
103	127	1097
104	128	1096
105	129	1094
106	131	1093
107	132	1092
108	133	1089
109	134	1088
110	135	1086
111	137	1091
112	139	1091
113	141	1098
114	142	1096
115	143	1095
116	144	1093
117	145	1090
118	148	1098
119	150	1101
120	152	1108
121	154	1115
122	156	1114
123	157	1112
124	158	1110
125	159	1108
126	162	1114
127	163	1112
128	164	1110
129	167	1121
130	168	1120
131	171	1125
132	173	1133
133	175	1131
134	176	1128
135	178	1131
136	181	1140
137	182	1139
138	183	1138
139	186	1143
140	187	1141
141	188	1139
142	189	1138
143	191	1135
144	192	1133
145	194	1138
146	195	1136
147	197	1135
148	198	1132
149	199	1131
150	200	1129
151	203	1133
152	204	1131
153	205	1129
154	208	1134
155	209	1132
156	212	1140
157	213	1138
158	215	1137
159	216	1135
160	218	1136
161	219	1134
162	220	1134
163	222	1132
164	224	1136
165	226	1139
166	227	1136
167	229	1134
168	230	1131
169	231	1129
170	232	1126
171	233	1124
172	234	1122
173	235	1119
174	237	1118
175	238	1116
176	239	1113
177	240	1111
178	241	1109
179	243	1108
180	244	1107
181	245	1104
182	246	1102
183	247	1099
184	249	1097
185	250	1094
186	251	1092
187	252	1090
188	253	1088
189	255	1087
190	256	1086
191	257	1083
192	258	1081
193	259	1079
194	261	1079
195	262	1077
196	263	1074
197	264	1072
198	265	1070
199	267	1069
200	268	1066
201	269	1064
202	270	1062
203	271	1060
204	273	1059
205	274	1057
206	275	1056
207	276	1054
208	277	1051
209	279	1052
210	280	1049
211	281	1047
212	282	1045
213	284	1043
214	285	1041
215	286	1039
216	287	1037
217	288	1035
218	289	1032
219	291	1033
220	292	1031
221	293	1029
222	294	1027
223	296	1025
224	297	1024
225	298	1022
226	299	1020
227	300	1018
228	301	1016
229	303	1015
230	304	1013
231	305	1011
232	306	1009
233	308	1008
234	309	1006
235	310	1004
236	311	1002
237	312	1000
238	313	998
239	315	998
240	316	996
241	318	997
242	319	995
243	320	994
244	322	993
245	323	991
246	324	989
247	325	987
248	326	985
249	327	983
250	329	981
251	330	979
252	331	977
253	332	977
254	333	975
255	334	973
256	336	971
257	337	969
258	338	968
259	339	966
260	340	964
261	341	963
262	342	961
263	344	960
264	345	958
265	347	958
266	348	956
267	349	955
268	351	953
269	352	952
270	353	950
271	354	948
272	355	947
273	356	945
274	357	943
275	359	942
276	360	940
277	361	940
278	363	938
279	364	936
280	365	935
281	367	934
282	368	933
283	369	931
284	370	929
285	371	927
286	372	926
287	374	924
288	375	923
289	376	921
290	377	919
291	379	919
292	380	917
293	381	915
294	382	914
295	383	912
296	385	911
297	386	910
298	388	911
299	389	909
300	391	908
301	392	906
302	394	906
303	395	904
304	396	904
305	397	902
306	399	901
307	400	899
308	401	897
309	403	897
310	404	895
311	405	894
312	406	892
313	407	890
314	408	889
315	409	887
316	411	885
317	412	883
318	413	882
319	414	881
320	415	879
321	417	878
322	418	876
323	419	875
324	420	873
325	421	872
326	423	871
327	424	869
328	425	868
329	427	867
330	428	865
331	429	863
332	430	862
